movie_id,cast_id
1942,57586
1942,8201
1942,15300
1942,33171
1942,46155
1942,15301
1942,21143
1942,34272
1942,37157
1942,15302
1942,15303
1942,15304
1942,15305
1942,35374
1942,15306
1942,33223
1942,35728
1942,36676
1942,40156
1942,49365
1942,50613
1942,51432
1942,54131
1942,56139
1942,56750
1942,15307
1942,15588
1943,1823
1943,7931
1943,8239
1943,15283
1943,15308
1943,15894
1943,17718
1943,17786
1943,24381
1943,25410
1943,34307
1943,35292
1943,35392
1943,36100
1943,36654
1943,37824
1943,40143
1943,40161
1943,40256
1943,43369
1943,43794
1943,45070
1943,45259
1943,48270
1943,50387
1943,51087
1943,51365
1943,51666
1943,53166
1943,53325
1943,62013
1943,62462
1943,1820
1943,8973
1943,11678
1943,13274
1943,15309
1943,28311
1943,33301
1943,33409
1943,34269
1943,37062
1943,45566
1943,53056
1943,15285
1943,15292
1943,15310
1943,33247
1943,35719
1943,47697
1943,49497
1943,53110
1943,60262
1943,62634
1943,15289
1943,15311
1943,15312
1943,34333
1944,14669
1944,15298
1944,15313
1944,18204
1944,21188
1944,27005
1944,33220
1944,33234
1944,34233
1944,34268
1944,35343
1944,40080
1944,41288
1944,8958
1944,13223
1944,14668
1944,15291
1944,15314
1944,17735
1944,21103
1944,21158
1944,24248
1944,24367
1944,31080
1944,33235
1944,33321
1944,33442
1944,34166
1944,34275
1944,34512
1944,35370
1944,37167
1944,40699
1944,41289
1944,44120
1944,45503
1944,51764
1944,63037
1944,15315
1944,15316
1944,57366
1944,13212
1944,15317
1944,17871
1944,24251
1944,34138
1944,37075
1944,38217
1944,48099
1944,49206
1944,55172
1944,55917
1944,56471
1944,56727
1944,62638
1944,15318
1944,15319
1944,23093
1944,35313
1944,51743
1944,7101
1944,11370
1944,15320
1944,15321
1945,8205
1945,8223
1945,8233
1945,8245
1945,8957
1945,14686
1945,15322
1945,19823
1945,24223
1945,24243
1945,24365
1945,34831
1945,35393
1945,36846
1945,39789
1945,56075
1945,2010
1945,6948
1945,15323
1945,21380
1945,26926
1945,33770
1945,35917
1945,37050
1945,44604
1945,47086
1945,50711
1945,13234
1945,15324
1945,39966
1945,46851
1945,15325
1945,15326
1945,15886
1945,17313
1945,21881
1945,33252
1945,34265
1945,46529
1945,55399
1945,62009
1945,62521
1945,62637
1945,11818
1945,15327
1945,15341
1945,19749
1945,24233
1945,30032
1945,34434
1945,34436
1945,38211
1945,45501
1945,49828
1945,50626
1945,53059
1945,54535
1945,55894
1945,58446
1945,58653
1945,62015
1946,15328
1946,17807
1946,19490
1946,24296
1946,24376
1946,28893
1946,33418
1946,34142
1946,44100
1946,57347
1946,57758
1946,15329
1946,21723
1946,31088
1946,1587
1946,15330
1946,24299
1946,43915
1946,52099
